INDEX,STD_DATE,TCKT_NMBR,TP_CR,TCKT_ADDR,DONG,TW_CR,LA,LO
201,2018-05-28,1,자동차,대전시 서구 도마동 74-7,도마1동,N,36.32179,127.380019
202,2018-05-28,1,자동차,대전시 서구 서구 정림동 683 부근 늘푸른아파트와 강변들아파트사이,정림동,N,36.300357,127.366082
203,2018-05-29,1,자동차,대전시 서구 정림로24번길 83 아이미소어린이집 맞은 편,정림동,N,36.303759,127.370352
204,2018-05-29,1,자동차,대전시 서구 정림로24번길 83 아이미소어린이집 맞은 편,정림동,N,36.303759,127.370352
205,2018-05-30,1,자동차,대전시 서구 계룡로354번길,갈마1동,N,36.348418,127.367386
206,2018-05-31,1,자동차,대전시 서구 신갈마로127번길 157,갈마1동,N,36.33985,127.366129
207,2018-05-31,1,자동차,대전시 서구 탄방동 산호아파트 106동 107동 3지하주차장,탄방동,N,36.34547,127.386137
208,2018-05-31,1,자동차,대전시 서구 한밭대로 590 한누리교회 앞,월평1동,N,36.35792,127.36439
209,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
210,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
211,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길,관저1동,N,36.302551,127.333719
212,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길,관저1동,N,36.302551,127.333719
213,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
214,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
215,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길,관저1동,N,36.302551,127.333719
216,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길,관저1동,N,36.302551,127.333719
217,2018-05-31,1,자동차,대전 서구 괴곡길 70,정림동,N,36.293679,127.360992
218,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
219,2018-05-31,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
220,2018-06-01,1,자동차,대전시 서구 관저동 봉우로8번길(관저동 1735 부근),관저1동,N,36.302551,127.333719
221,2018-06-04,1,자동차,대전 서구 벌곡로 67,기성동,N,36.223619,127.302042
222,2018-06-05,1,자동차,대전시 서구 도마1동 141-10번지 신원빌라,도마1동,N,36.314257,127.382061
223,2018-06-05,1,자동차,대전시 서구 만년동 189번지 유안하우스,만년동,N,36.367059,127.374768
224,2018-06-08,1,자동차,대전 서구 문정로90번길 60,탄방동,N,36.344967,127.388324
225,2018-06-08,1,자동차,대전 서구 둔산서로 100,둔산2동,N,36.3551,127.383655
226,2018-06-11,1,자동차,"대전시 서구 도마동 184-15, 예광교회",도마2동,N,36.312136,127.37985
227,2018-06-11,1,자동차,"대전시 서구 월평동로 45, 진달래아파트 상가 옆",월평3동,N,36.359059,127.366798
228,2018-06-11,1,자동차,"대전시 서구 계룡로553번길 38, 서구문화원과 산호아파트 사이",탄방동,N,36.344629,127.385564
229,2018-06-11,1,자동차,대전시 서구 계백로1300번길 122(정림동),정림동,N,36.303275,127.369176
230,2018-06-11,1,자동차,대전시 서구 월평동 주공아파트 관리사무소,월평2동,N,36.363845,127.37369
231,2018-06-14,1,자동차,대전시 서구 월평2동 주공아파트 107동 앞,월평2동,N,36.363661,127.369625
232,2018-06-14,1,자동차,대전광역시 서구 월드컵대로 480 대전광역시도시철도공사,월평1동,N,36.348323,127.35287
233,2018-06-15,1,자동차,대전광역시 서구 가수원동 산19-8,가수원동,N,36.292597,127.350915
234,2018-06-15,1,자동차,대전광역시 서구 가수원동 산19-8,가수원동,N,36.292597,127.350915
235,2018-06-15,1,자동차,대전광역시 서구 가수원동 산19-8,가수원동,N,36.292597,127.350915
236,2018-06-18,1,자동차,대전광역시 서구 괴정동 53-25번지,괴정동,N,36.338212,127.385592
237,2018-06-18,1,자동차,대전 서구 도솔로151번지,도마1동,N,36.324118,127.373652
238,2018-06-18,1,자동차,대전 서구 대덕대로22번길 5-10,내동,N,36.33559,127.373493
239,2018-06-18,1,자동차,대전 서구 대덕대로22번길 5-10,내동,N,36.33559,127.373493
240,2018-06-18,1,자동차,대전 서구 괴정동 67-1 kt전화국 앞,괴정동,N,36.340039,127.381501
241,2018-06-19,1,자동차,대전시 서구 월평동 1491 패션월드,월평1동,N,36.352486,127.352757
242,2018-06-19,1,자동차,대전 서구 월평북로 11,월평2동,N,36.363639,127.370494
243,2018-06-19,1,자동차,대전 서구 월평북로 11,월평2동,N,36.363639,127.370494
244,2018-06-19,1,자동차,대전 서구 월평북로 11,월평2동,N,36.363639,127.370494
245,2018-06-19,1,자동차,대전 서구 월평북로 11,월평2동,N,36.363639,127.370494
246,2018-06-26,1,자동차,"대전시 서구 청사로 282, 수정타운 아파트 16동 뒤 천변",둔산2동,N,36.35901,127.397463
247,2018-06-26,1,자동차,대전시 서구 도솔로 478,탄방동,N,36.342674,127.396385
248,2018-06-26,1,자동차,대전시 서구 도솔로 478,탄방동,N,36.342674,127.396385
249,2018-06-26,1,자동차,대전시 서구 둔산동 1517-0,둔산2동,N,36.359631,127.3849
250,2018-06-27,1,자동차,"대전시 서구 관저로 177-43, 5층",관저2동,Y,36.299701,127.341459
251,2018-06-27,1,자동차,대전시 서구 월평동 596,월평1동,Y,36.357025,127.365622
252,2018-06-27,1,자동차,대전시 서구 월평동 1275,월평1동,Y,36.354403,127.355716
253,2018-06-27,1,자동차,"대전시 서구 괴정동 71-3, 조은빌라",괴정동,N,36.338413,127.380901
254,2018-06-27,1,자동차,"대전시 서구 동서대로1047번길 16, 내동경로당 앞",내동,N,36.331398,127.378439
255,2018-06-27,1,자동차,대전시 서구 가장로 74-1,괴정동,N,36.335819,127.383004
